"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","subgenus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","rankmarker","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
28,"WL:SNAIL:ES:OCC:00027","Sphaeriidae","Euglesa cf. casertana","cf.","Euglesa",,"cf. casertana",,,2013-08-10,2013,"HumanObservation","adult",4,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:176b36cd13c33ea725fc1b6f435b5ec6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
29,"WL:SNAIL:ES:OCC:00028","Sphaeriidae","Euglesa cf. casertana","cf.","Euglesa",,"cf. casertana",,,2013-08-10,2013,"HumanObservation","juvenile",3,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:176b36cd13c33ea725fc1b6f435b5ec6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
30,"WL:SNAIL:ES:OCC:00029","Chondrinidae","Chondrina kobelti",,"Chondrina",,"kobelti",,"(Westerlund, 1887)",2015-07-20,2015,"HumanObservation","adult",1,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert","aperture strongly V-shaped; height about 6 mm","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:c938eeae373b5cff2eeef54d06c161f3","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
31,"WL:SNAIL:ES:OCC:00030","Chondrinidae","Abida vasconica",,"Abida",,"vasconica",,"(Kobelt, 1882)",2015-07-20,2015,"HumanObservation","adult",1,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:dec2d0cfac08b946c6c589ef9f15c6a0","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
32,"WL:SNAIL:ES:OCC:00031","Clausiliidae","Clausilia bidentata",,"Clausilia",,"bidentata",,"(Strøm, 1765)",2015-07-20,2015,"HumanObservation",,10,"estimate count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:201f93f48b48a2210bde594cb6f0584e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
33,"WL:SNAIL:ES:OCC:00032","Geomitridae","Cochlicella barbara",,"Cochlicella",,"barbara",,"(Linnaeus, 1758)",2015-07-20,2015,"HumanObservation",,20,"estimate count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:5d5814ec63be19cb1459889d555f1f01","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
34,"WL:SNAIL:ES:OCC:00033","Lauriidae","Lauria cylindracea",,"Lauria",,"cylindracea",,"(Da Costa, 1778)",2015-07-20,2015,"HumanObservation","adult",9,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
35,"WL:SNAIL:ES:OCC:00034","Lauriidae","Lauria cylindracea",,"Lauria",,"cylindracea",,"(Da Costa, 1778)",2015-07-20,2015,"HumanObservation","juvenile",3,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
36,"WL:SNAIL:ES:OCC:00035","Pupillidae","Pupilla bigranata",,"Pupilla",,"bigranata",,"(Rossmässler, 1839)",2015-07-20,2015,"HumanObservation","adult",1,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert","palatal tooth subtle and no columelar tooth","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d81d8bddbd8d667403a74c678e7e7d0f","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
37,"WL:SNAIL:ES:OCC:00036","Cochlicopidae","Cochlicopa lubrica",,"Cochlicopa",,"lubrica",,"(O. F. Müller, 1774)",2015-07-20,2015,"HumanObservation","adult",1,"exact count",43.428845,-4.769988,100,"Cliffs between Llanes and Poó","Llanes","Asturias","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:25c31fbfe4ee9ca0ccd106c9c668f4da","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
